id,move_why,cat1,subcat1,cat2,subcat2
7592,Cost of purchasing a home in area,Cost,Housing,,
7594,To find affordable housing,Cost,Housing,,
7595,Bad schools,School System,,,
7600,Cost of housing,Cost,Housing,,
7602,Depending on housing costs,Cost,Housing,,
7607,Cost of housing + traffic,Cost,Housing,Atmosphere,Traffic / bikes
7608,Job,Job / school,,,
7610,Affordable housing,Cost,Housing,,
7611,Jobs,Job / school,,,
7619,Traffic is so bad,Atmosphere,Traffic / bikes,,
7623,Back to my country,Other,,,
7624,The rent/mortgage high,Cost,Housing,,
7625,I'll go back to my country,Other,,,
7626,,No Answer,,,
7629,I can't afford my rent,Cost,Housing,,
7632,Schools,School System,,,
7635,Cost of rent,Cost,Housing,,
7637,Better quality housing,Other,Housing,,
7648,Rent is too high,Cost,Housing,,
7649,Buy a house,Other,Housing,,
7651,,No Answer,,,
7653,Exploring new city/work,Job / school,,Other,
7655,Hoping to purchase,Other,Housing,,
7659,"More space, easier commute",Atmosphere,Space,Job / school,
7667,More nature,Atmosphere,Nature,,
7669,rent,Cost,Housing,,
7671,Personal relationship,Family / Relationship,,,
7676,Cost of living,Cost,General,,
7683,,No Answer,,,
7688,Job opportunities999more in DC,Job / school,,,
7690,Cannot afford,Cost,General,,
7693,Price of housing,Cost,Housing,,
7695,Spouse died,Family / Relationship,,,
7696,Tired of city life & New England,Atmosphere,Other,,
7701,Houses are too expensive,Cost,Housing,,
7706,"expense, can't afford to buy a home in Mass",Cost,Housing,,
7709,Cost of housing,Cost,Housing,,
7716,"Too expensive, not suitable for seniors",Cost,General,Other,
7717,New job,Job / school,,,
7721,Post Graduate program in UK,Job / school,,,
7724,Too expensive,Cost,General,,
7728,Cost of housing,Cost,Housing,,
7731,Need more space + cheaper housing to start a family,Atmosphere,Space,Cost,Housing
7734,,No Answer,,,
7735,Internship out of state for school,Job / school,,,
7742,Getting married,Family / Relationship,,,
7748,Can't afford housing for myself + child,Cost,Housing,,
7756,Rent,Cost,Housing,,
7760,Getting too expensive,Cost,General,,
7766,I may move for work,Job / school,,,
7767,It's unaffordable to buy,Cost,Housing,,
7768,We want to buy a home but can't afford prices in Somerville,Cost,Housing,,
7769,Rent is skyrocketing,Cost,Housing,,
7770,Rent = too high,Cost,Housing,,
7771,"non999resident, move back home",Other,,,
7775,,No Answer,,,
7779,Want to buy own house,Other,Housing,,
7780,"To buy, it's too expensive",Cost,Housing,,
7789,Cost of living,Cost,General,,
7790,Just want to move out of MA in general,Other,,,
7791,Career & affordability,Job / school,,Cost,General
7792,Move back home,Other,,,
7793,"Elitist, Unfriendly, Racist, Expensive, Cold (emotionally)",Atmosphere,Other,Cost,General
7795,Renting costs,Cost,Housing,,
7800,Not enough green streets to name,Other,,,
7804,"Buying a home, too expensive to own here",Cost,Housing,,
7806,Cost + comfort of housing,Cost,Housing,Other,Housing
7808,Cost of housing,Cost,Housing,,
7810,Job prospects,Job / school,,,
7813,Can't afford to buy,Cost,Housing,,
7817,Housing Cost,Cost,Housing,,
7821,,No Answer,,,
7822,,No Answer,,,
7825,"Too crowded, expensive",Atmosphere,Crowds,Cost,General
7830,Too expensive to buy,Cost,Housing,,
7831,"Buy a condo I can afford, Somerville'sway too expensive",Cost,Housing,,
7833,Rent is too high. Buying is out of control,Cost,Housing,,
7836,From out of state,Other,,,
7838,Buying a condo,Other,Housing,,
7840,"Too expensive, way too crowded + noisy, lack of green space/water for swimming",Cost,General,Atmosphere,Crowds
7848,,No Answer,,,
7849,To have a single family home and better public schools,Other,Housing,School system,
7850,"Hope to buy, Somerville not in price range",Cost,Housing,,
7861,Because,Other,,,
7862,"I do not want my child in a school system that normalizes school shootings and is dismissive of parent concerns. The school system requires young children to perform active shooter drills to the tune of ""Twinkle Twinkle Little Star"" and the mayor was dismissive toward a parent who complained about this on social media.",Political,,School system,
7870,Cost of rent vs. space,Cost,Housing,,
7873,Can't afford to own house in Somerville,Cost,Housing,,
7878,Relocation due to divorce,Family / Relationship,,,
7882,"Too crowded, too many bicycles, very unsafe999too much traffic",Atmosphere,Crowds,Atmosphere,Traffic / bikes
7883,More space,Atmosphere,Space,,
7885,Too expensive,Cost,General,,
7887,Airplane noise,Atmosphere,Noise,,
7888,Cost of housing/not enough beauty/green space,Cost,Housing,Atmosphere,Nature
7892,Cost of housing,Cost,Housing,,
7896,"Can't wait to move, don't like what the mayor is doing",Political,,,
7897,"Lots collect checks, don't work. Rent goes up each year. Rent's high in general.",Political,,Cost,Housing
7901,"Traffic, cost",Atmosphere,Traffic / bikes,Cost,General
7907,Cost,Cost,General,,
7909,Property tax too high,Cost,Housing,,
7910,Cost of housing. We can't afford to buy here and very soon we'll be unable to rent.,Cost,Housing,,
7912,Study,Job / school,,,
7914,We are smitten by Portland: looking to downsize our lives,Other,,,
7919,Want to buy and everything is way too expensive,Cost,Housing,,
7920,Buy a house999can't afford Somerville,Cost,Housing,,
7923,"If we buy a house, we can't afford to stay",Cost,Housing,,
7934,Too expensive to buy a first home,Cost,Housing,,
7937,Grad school,Job / school,,,
7939,Taxes too high on a fixed income. Lived here for 40 years really don't want to leave,Cost,General,,
7941,Mayor,Political,,,
7944,,No Answer,,,
7945,Too many taxes + fees,Cost,Taxes,,
7949,,No Answer,,,
7951,West Coast,Other,,,
7953,Can't afford large enough place,Cost,Housing,,
7954,"Buying a house, too expensive for single family homes in good condition",Cost,Housing,,
7958,Job,Job / school,,,
7959,Traffic/cost of housing,Atmosphere,Traffic / bikes,Cost,Housing
7962,Too expensive to live alone,Cost,Housing,,
7966,Grad school,Job / school,,,
7968,It's for the rich,Cost,General,,
7972,Housing costs,Cost,Housing,,
7975,"Lack of green space, cost",Atmosphere,Nature,Cost,
7976,"Cost of housing, parking, and commute",Cost,Housing,Cost,General
7977,,No Answer,,,
7979,ISD. Zoning.,Political,,,
7980,End of school,Job / school,,,
7981,Rent is high,Cost,Housing,,
7984,Moving away for school,Job / school,,,
7985,New job,Job / school,,,
7991,Priced out of the area,Cost,General,,
7992,Work,Job / school,,,
7993,Cannot afford to purchase,Cost,Housing,,
7995,Possible Opportunity,Job / school,,,
8003,Family lives in Midwest US,Family / Relationship,,,
8004,Partner + Job,Family / Relationship,,Job / school,
8005,My apartment building is being sold and the cost of rent is far too high.,Cost,Housing,,
8006,It's ugly.,Atmosphere,Other,,
8016,Housing costs.Three years of 15% rent increases.,Cost,Housing,,
8022,,No Answer,,,
8026,Cost of living,Cost,General,,
8027,Cost of housing. All of my artist friends are moving out.,Cost,Housing,,
8034,Job's not close to Somerville,Job / school,,,
8039,Sanctuary City 999999 Illegals before citizens,Political,,,
8052,Housing,Cost,Housing,,
8062,"Might have children, cost of rent is too high, and schools have a bad rating",Cost,Housing,School system,
8067,Property taxes too high. Really don't want to leave.,Cost,Housing,,
8070,Need more space for kids,Family / Relationship,,,
8072,Cost of living,Cost,General,,
8077,Closer to Boston,Other,,,
8087,I will be priced out,Cost,Housing,,
8088,Change of scenery,Other,,,
8089,Rent too high,Cost,Housing,,
8092,"No choice, house in probate, can't afford to stay",Cost,Housing,,
8094,Affordability of owning a home,Cost,Housing,,
8101,Landlords are brutal,Other,,,
8107,Return to school/grad school,Job / school,,,
8123,Larger living space,Other,Housing,,
8124,"I want a better quality of life, cheaper, much less crowded, and less noisy",Cost,General,Atmosphere,Crowds
8126,Anticipating not being able to afford it anymore,Cost,General,,
8129,City is very dirty,Atmosphere,Cleanliness,,
8133,Job Search,Job / school,,,
8135,Purchasing 1st home and Somerville will not be affordable,Cost,Housing,,
8143,Rent too high,Cost,Housing,,
8144,,No Answer,,,
8148,MA/Boston too expensive in general,Cost,General,,
8151,Back to home state,Other,,,
8152,To be closer to work in Cambridge,Job / school,,,
8157,To move closer to work + family,Job / school,,Family / Relationship,
8162,"Too congested, traffic is horrific",Atmosphere,Traffic / bikes,,
8163,Cost of housing/space,Cost,Housing,,
8167,Finishing studies,Job / school,,,
8172,Home ownership is too expensive,Cost,Housing,,
8179,Leaving state maybe,Other,,,
8181,Looking to buy + probably can't afford Somerville,Cost,Housing,,
8184,Need larger space,Other,Housing,,
8194,Som sucks,Other,,,
8203,Can't afford to buy home,Cost,Housing,,
8204,It's getting too expensive,Cost,General,,
8209,"Cost, be closer to work",Cost,General,Job / school,
8213,Purchasing a home,Other,Housing,,
8214,Graduating School,Job / school,,,
8216,Too expensive,Cost,General,,
8219,In one month! Can't stand what happened to the city I grew up in.,Other,,,
8222,Buying a house here is too expensive,Cost,Housing,,
8227,Housing lost,Other,Housing,,
8231,Affordability of home ownership,Cost,Housing,,
8236,Cost of housing,Cost,Housing,,
8243,Guns,Atmosphere,Other,,
8245,Expensive for limited services,Cost,General,Other,
8246,New job,Job / school,,,
8249,Lower cost housing,Cost,Housing,,
8250,Hate it now,Other,,,
8253,"More room, less crowded",Atmosphere,Space,Atmosphere,Crowds
8254,Job opportunity,Job / school,,,
8264,Affordability for a space big enough for a family,Cost,Housing,,
8267,Not happy with Somerville,Other,,,
8271,Medical residency,Job / school,,,
8272,Back to NYC,Other,,,
8273,Graduate school,Job / school,,,
8274,Cost of housing,Cost,Housing,,
8275,To buy somewhere more affordable,Cost,Housing,,
8280,Job,Job / school,,,
8281,Small space 999 can't afford a bigger space in somerville,Cost,Housing,,
8284,,No Answer,,,
8286,"taxes, unsafe, expensive",Cost,Taxes,Atmosphere,Other
8294,I would love to raise my family here but we will not be able to afford housing,Cost,Housing,,
8296,Hoping to buy a home closer to family,Family / Relationship,,,
8299,work,Job / school,,,
8304,"Noise, dust, pollution, greed, no green alternatives",Atmosphere,Noise,Atmosphere,Cleanliness
8309,"NY is better, Somerville is all soft white people that complain about everything",Other,,,
8311,lower cost of living,Cost,General,,
8315,bigger house,Other,Housing,,
8316,Apartment availability,Other,Housing,,
8317,cost,Cost,General,,
8319,cost of living,Cost,General,,
8326,political corruption among many other reasons,Political,,,
8329,cost of housing,Cost,Housing,,
8330,"can't afford to buy housing, even an apt.",Cost,Housing,,
8332,"traffic, rats, road closures, cost",Atmosphere,Traffic / bikes,Atmosphere,Cleanliness
8343,"congestion, bad roads, cost of living",Atmosphere,Traffic / bikes,Cost,General
8344,Life,Other,,,
8346,Job,Job / school,,,
8347,Job,Job / school,,,
8357,can't afford to live here,Cost,General,,
8360,costs too much,Cost,General,,
8361,,No Answer,,,
8363,Job,Job / school,,,
8366,work location,Job / school,,,
8380,,No Answer,,,
8381,housing cost,Cost,Housing,,
8382,Rats,Atmosphere,Cleanliness,,
8383,Rats,Atmosphere,Cleanliness,,
8384,Rats,Atmosphere,Cleanliness,,
8387,,No Answer,,,
8393,,No Answer,,,
8396,Too expensive to buy,Cost,Housing,,
8397,,No Answer,,,
8398,traffic,Atmosphere,Traffic / bikes,,
8403,want to buy a house at a lake,Other,Housing,,
8412,Too expensive to live in! Changing demographics,Cost,General,Atmosphere,Community
8415,Been here too long,Other,,,
8416,work,Job / school,,,
8418,"high cost of living, Mayor Curtatone's public comments & policies",Cost,General,Political,
8424,cost of housing,Cost,Housing,,
8426,expensive housing,Cost,Housing,,
8428,"Affordability (ownership), weather",Cost,Housing,Atmosphere,Weather
8430,"expensive, dirty streets, RATS",Cost,General,Atmosphere,Cleanliness
8431,prices,Cost,General,,
8433,housing prices,Cost,Housing,,
8435,to purchase home,Other,Housing,,
8439,Not affordable to buy,Cost,Housing,,
8443,retirement,Job / school,,,
8448,Time for change,Other,,,
8449,cost of living here,Cost,General,,
8451,grad school,Job / school,,,
8460,purchased house,Other,Housing,,
8461,rising costs,Cost,General,,
8466,bought house elsewhere,Other,Housing,,
8468,single 999 family home too expensive,Cost,Housing,,
8469,job,Job / school,,,
8472,more out of the city,Other,,,
8481,younger crowd moving here 999 too loud,Atmosphere,Community,Atmosphere,Noise
8484,Explore new city,Other,,,
8487,Can't afford a single family home,Cost,Housing,,
8491,too expensive,Cost,General,,
8494,Trying to buy a condo.,Other,Housing,,
8505,"corrupt govt; police and mayor, sanctuary, violent city",Political,,,
8511,Landlord wants my apt.,Other,Housing,,
8514,work,Job / school,,,
8515,location,Other,,,
8517,Buy a cheaper area,Cost,Housing,,
8518,Family reasons,Family / Relationship,,,
8521,"back home, Europe",Other,,,
8526,"If my landlady sells or something should happen to her I will have to move because of the ""high"" outrageous rents",Cost,Housing,,
8528,Finishing school,Job / school,,,
8530,Graduating,Job / school,,,
8541,cost + traffic,Cost,General,Atmosphere,Traffic / bikes
8542,Housing cost,Cost,Housing,,
8543,may get married,Family / Relationship,,,
8548,Too expensive and too corporate! Too many yuppies!,Cost,General,Atmosphere,Community
8551,housing cost & availability,Cost,Housing,Other,Housing
8556,Job after school,Job / school,,,
8557,I expect to be priced out,Cost,Housing,,
8562,cost of housing,Cost,Housing,,
8563,cost of housing,Cost,Housing,,
8564,cost of housing,Cost,Housing,,
8565,will buy 999 can't afford Somerville,Cost,Housing,,
8570,cannot afford to buy anything,Cost,Housing,,
8573,housing cost,Cost,Housing,,
8574,work/school,Job / school,,,
8582,money,Cost,General,,
8584,housing cost,Cost,Housing,,
8586,I won't be able to afford it.,Cost,General,,
8589,can't afford it,Cost,General,,
8593,cost of rent,Cost,Housing,,
8599,Buy own house,Other,Housing,,
8600,,No Answer,,,
8606,new house with more land/space,Other,Housing,,
8609,"If Somerville continues focus too much on bikes and the public T and restrict cars,  then it will not be a place to age in place.",Atmosphere,Traffic / bikes,,
8614,Job,Job / school,,,
8622,"development, disintegration of neighborhoods, cost of housing",Atmosphere,Construction,Cost,Housing
8626,Relocation for jobs.,Job / school,,,
8628,limited contract in the US,Other,,,
8629,Housing cost,Cost,Housing,,
8630,Joining grand kids,Family / Relationship,,,
8631,cost of living and space,Cost,Housing,Atmosphere,Space
8639,Can't afford it.,Cost,General,,
8649,Home prices too high,Cost,Housing,,
8650,rising cost,Cost,General,,
8653,too expensive,Cost,General,,
8670,Housing costs,Cost,Housing,,
8675,commuting,Job / school,,,
8679,Rent is way too high!,Cost,Housing,,
8682,better neighborhood/town,Other,,,
8686,,No Answer,,,
8692,"cost, space, land",Cost,General,Atmosphere,Space
8694,Graduate School,Job / school,,,
8695,Health,Other,Health,,
8697,can't afford to buy here,Cost,Housing,,
8698,high taxes,Cost,Taxes,,
8702,The cost of living is very high.,Cost,General,,
8703,Too many ways to get a fine.,Atmosphere,Other,,
8706,work,Job / school,,,
8709,going home,Other,,,
8711,too expensive,Cost,General,,
8712,Can't afford to buy.,Cost,Housing,,
8713,To live with girlfriend.,Family / Relationship,,,
8714,Financial,Cost,General,,
8715,Returning to a warmer climate.,Atmosphere,Weather,,
8716,Job elsewhere,Job / school,,,
8717,cost,Cost,General,,
8722,,No Answer,,,
8723,money,Cost,General,,
8727,Rent,Cost,Housing,,
8729,Graduate school,Job / school,,,
8730,"cost of living, space",Cost,General,,
8734,New T station driving up rent soon.,Cost,Housing,,
8747,"more space, better schools",Atmosphere,Space,School system,
8750,"too much construction, too expensive, too many rats",Atmosphere,Construction,Cost,General
8755,expensive,Cost,General,,
8756,cost of housing,Cost,Housing,,
8758,cost of living,Cost,General,,
8763,,No Answer,,,
8774,New job,Job / school,,,
8776,Job / schooling change,Job / school,,,
8777,To buy an affordable house,Cost,Housing,,
8780,Too expensive to buy.,Cost,Housing,,
8782,Family,Family / Relationship,,,
8784,Job/studies,Job / school,,,
8785,Studies,Job / school,,,
8790,cheaper housing,Cost,Housing,,
8797,,No Answer,,,
8810,graduation,Job / school,,,
8812,"Space, cost of housing",Atmosphere,Space,Cost,Housing
8819,commute to work,Job / school,,,
8822,to live closer to work,Job / school,,,
8837,School,Job / school,,,
8838,Buying a home,Other,Housing,,
8842,"GLX Construction,  can't get around city easily, Broadway bus/bike lane",Atmosphere,Development,Atmosphere,Traffic / bikes
8843,work,Job / school,,,
8848,cost of housing,Cost,Housing,,
8849,Too quiet for me,Atmosphere,Other,,
8850,My landlord wants me out,Other,Housing,,
8851,Cost of single family houses,Cost,Housing,,
8852,"Want to buy a house, but can't afford to here",Cost,Housing,,
8855,can't afford childcare,Cost,Childcare,,
8858,"Excessive cost of housing for old housing, traffic congestion, Red Line failures, slow public transit",Cost,Housing,Atmosphere,Traffic / bikes
8860,Boyfriend owns in Malden,Family / Relationship,,,
8862,too expensive,Cost,General,,
8864,"My once quiet city has become overcrowded with condos and high rises, pricing out long term residences all while making roads smaller at the cost of residents.",Atmosphere,Crowds,Cost,Housing
8866,too expensive,Cost,General,,
8872,Closer to work but I love Somerville <3,Job / school,,,
8874,"My job is term limited, but I don't want another job here due to the cost of housing.",Job / school,,Cost,Housing
8877,Too expensive / neighborhood being sold to yuppies / green line extension is a scam,Cost,General,Atmosphere,Community
8883,House is being sold and can't find something comparable,Other,Housing,,
8884,buying a house nearby,Other,Housing,,
